countyFIPS,State,County Name_x,population,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases
36001,NY,Albany County ,305506,2264.8,499.0,281.0,268.0,330.0,434.0,686.0,773.0,675.0,511.0,466.0,350.0,370.0,492.0,449.0,704.0,622.0,594.0,753.0,793.0,916.0,1217.0,1640.0,3033.0,3461.0,4212.0,5852.0,7670.0,8736.0,9912.0,11245.0
36003,NY,Allegany County ,46091,415.76666666666665,21.0,28.0,11.0,23.0,20.0,36.0,23.0,9.0,23.0,19.0,14.0,34.0,23.0,19.0,15.0,48.0,104.0,132.0,288.0,466.0,521.0,620.0,1018.0,1267.0,1432.0,1236.0,1398.0,1152.0,1268.0,1205.0
36005,NY,Bronx County ,1418207,8709.8,4458.0,3702.0,3239.0,3117.0,2796.0,2972.0,3674.0,3011.0,3095.0,3524.0,3389.0,2788.0,2855.0,2224.0,2413.0,2377.0,2766.0,3256.0,3471.0,4173.0,5496.0,6932.0,10189.0,13780.0,17321.0,22351.0,27665.0,28901.0,29586.0,35773.0
36007,NY,Broome County ,190488,1765.9333333333334,292.0,157.0,172.0,325.0,348.0,545.0,570.0,580.0,518.0,394.0,338.0,501.0,403.0,408.0,359.0,477.0,1720.0,3247.0,3331.0,3259.0,3111.0,1952.0,2380.0,2845.0,3446.0,3762.0,4002.0,3810.0,4369.0,5357.0
36009,NY,Cattaraugus County ,76117,562.9666666666667,53.0,78.0,75.0,28.0,56.0,68.0,43.0,57.0,53.0,33.0,41.0,112.0,194.0,124.0,81.0,70.0,178.0,336.0,354.0,391.0,501.0,494.0,455.0,913.0,1595.0,1807.0,2358.0,2212.0,1857.0,2272.0
36011,NY,Cayuga County ,76576,647.5,43.0,28.0,20.0,60.0,39.0,30.0,50.0,51.0,56.0,69.0,31.0,70.0,42.0,34.0,59.0,86.0,117.0,98.0,214.0,464.0,547.0,544.0,722.0,566.0,895.0,1313.0,2573.0,3065.0,3542.0,3997.0
36013,NY,Chautauqua County ,126903,799.9666666666667,82.0,42.0,63.0,57.0,169.0,243.0,160.0,107.0,140.0,104.0,118.0,417.0,735.0,352.0,266.0,188.0,304.0,407.0,683.0,647.0,722.0,848.0,779.0,953.0,1125.0,1660.0,2794.0,3039.0,3178.0,3617.0
36015,NY,Chemung County ,83456,1021.6666666666666,6.0,4.0,5.0,32.0,24.0,27.0,44.0,31.0,34.0,107.0,72.0,23.0,70.0,152.0,456.0,705.0,1244.0,1983.0,1786.0,2391.0,2212.0,1658.0,1678.0,1742.0,2618.0,2623.0,2465.0,2296.0,2007.0,2155.0
36017,NY,Chenango County ,47207,252.36666666666667,26.0,14.0,32.0,22.0,90.0,122.0,121.0,85.0,49.0,31.0,17.0,28.0,46.0,75.0,34.0,14.0,47.0,86.0,178.0,400.0,387.0,261.0,285.0,341.0,536.0,466.0,834.0,937.0,828.0,1179.0
36019,NY,Clinton County ,80485,236.36666666666667,5.0,11.0,11.0,4.0,35.0,32.0,35.0,60.0,18.0,19.0,46.0,78.0,28.0,5.0,12.0,22.0,43.0,86.0,82.0,256.0,202.0,244.0,384.0,390.0,312.0,422.0,638.0,1042.0,888.0,1681.0
