countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
34001,Atlantic County ,NJ,34,441.06666666666666,126,212,137,97,79,101,129,148,70,122,88,66,59,89,78,119,139,240,242,292,344,505,709,702,682,863,852,1003,1031,3908,8,13,8,23,10,11,5,3,11,0,0,0,0,1,1,3,0,0,5,3,0,2,4,3,5,12,16,10,17,27,12,263670
34003,Bergen County ,NJ,34,1148.4666666666667,306,192,344,271,246,109,246,295,273,401,131,231,231,178,202,238,328,439,565,789,999,1398,2299,2628,2732,3310,2590,2636,2466,7381,38,44,34,287,21,24,2,0,0,0,0,0,2,6,4,2,1,1,4,0,8,5,8,12,18,21,43,37,44,34,55,932202
34005,Burlington County ,NJ,34,639.1666666666666,91,147,113,126,113,67,152,237,176,138,129,108,177,157,214,197,179,239,280,376,520,634,1172,1469,1640,1669,1569,1592,1681,3813,33,36,8,48,14,14,12,10,1,3,4,4,0,2,5,2,6,6,1,3,5,5,4,6,6,11,8,16,23,16,24,445349
34007,Camden County ,NJ,34,840.2333333333333,219,117,149,195,213,137,258,270,205,231,168,181,169,165,231,181,236,346,365,445,708,1032,1843,1999,2094,2622,2055,2148,1837,4388,31,38,9,67,38,25,13,7,9,4,3,2,6,3,4,8,4,3,3,3,9,9,4,9,15,11,23,35,24,25,51,506471
34009,Cape May County ,NJ,34,134.13333333333333,25,17,24,4,16,22,34,22,22,15,31,20,35,30,34,26,23,10,19,19,57,67,131,175,131,143,172,164,155,2381,2,8,3,6,6,3,5,4,1,0,2,2,3,0,0,1,1,1,1,1,1,0,2,3,1,5,6,6,4,5,5,92039
34011,Cumberland County ,NJ,34,231.83333333333334,102,181,95,75,34,25,51,113,98,89,74,59,59,69,47,49,29,50,35,67,103,142,245,278,342,496,647,650,591,2060,15,17,17,17,8,0,5,0,1,0,0,0,0,1,1,0,2,1,0,1,1,0,1,7,0,4,9,10,9,12,17,149527
34013,Essex County ,NJ,34,1135.4333333333334,287,187,165,171,121,97,205,216,202,199,185,189,204,152,176,221,276,430,719,1292,1521,1934,2990,2562,2263,3211,2837,2704,2098,6249,40,38,15,261,19,30,19,11,2,8,0,0,3,7,2,3,3,0,1,5,6,4,9,19,30,26,31,36,36,34,38,798975
34015,Gloucester County ,NJ,34,468.4,86,53,90,88,113,66,145,128,151,165,144,111,141,249,255,198,276,185,207,224,276,484,905,998,866,1339,1201,1044,1015,2849,4,5,14,10,7,5,4,6,6,3,3,4,0,4,1,0,3,3,3,2,7,7,2,4,11,15,22,19,25,12,39,291636
34017,Hudson County ,NJ,34,1002.2666666666667,179,0,90,142,145,127,115,148,160,221,150,89,130,110,111,161,254,286,548,842,1060,1347,1914,2222,2316,2961,2794,2582,2675,6189,36,36,8,187,6,27,9,8,2,3,2,0,1,4,1,1,2,3,1,4,4,3,8,6,13,15,35,24,29,19,34,672391
34019,Hunterdon County ,NJ,34,107.43333333333334,16,15,20,14,6,6,20,17,12,12,31,20,17,27,30,35,67,63,36,46,93,150,205,255,233,273,298,298,258,650,4,2,1,56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,1,1,1,1,2,3,124371
34021,Mercer County ,NJ,34,432.1666666666667,185,190,85,114,49,36,92,125,77,71,74,62,80,85,76,70,84,99,136,190,292,522,1100,1390,1274,1212,1198,1215,879,1903,26,16,7,53,12,11,8,3,5,3,3,2,3,5,2,0,1,1,0,1,3,0,2,5,4,9,9,16,15,9,16,367430
34023,Middlesex County ,NJ,34,1098.7666666666667,232,175,159,149,122,123,377,178,206,180,176,157,154,256,247,355,460,457,569,738,1008,1241,1827,2243,2286,3202,3264,3493,2905,6024,44,36,25,217,13,44,17,8,0,3,12,1,1,2,3,3,0,5,3,4,7,5,6,9,12,11,24,35,47,39,56,825062
34025,Monmouth County ,NJ,34,914.7333333333333,262,202,166,200,174,177,198,260,185,172,115,121,216,264,310,327,397,587,500,436,668,834,1440,1935,1823,2390,2451,2666,2407,5559,41,32,23,110,16,13,14,6,2,0,0,0,2,1,4,2,2,0,0,1,2,3,1,5,9,12,19,20,25,45,47,618795
34027,Morris County ,NJ,34,585.7666666666667,25,104,45,79,93,56,107,91,92,93,70,63,95,59,114,118,126,168,276,429,498,789,1049,1057,1263,1467,1710,1427,1399,4611,9,11,5,154,11,12,7,2,0,2,0,0,0,0,1,0,0,0,2,0,2,5,3,8,4,5,12,27,31,16,20,491845
34029,Ocean County ,NJ,34,937.3333333333334,222,181,145,136,114,127,259,253,137,156,174,219,317,281,498,917,1086,926,782,525,513,576,1069,1452,1661,2221,2176,2492,2337,6168,34,43,30,97,28,25,11,2,6,2,2,0,0,10,6,6,6,2,2,2,9,7,7,10,11,27,31,54,44,56,72,607186
34031,Passaic County ,NJ,34,904.6333333333333,178,142,98,87,110,98,150,181,149,308,223,154,172,162,161,182,233,368,371,468,838,1269,2325,2189,2784,2927,2592,2120,1711,4389,43,27,15,167,13,25,19,1,0,1,4,0,1,3,1,2,3,1,0,3,3,1,6,11,20,14,25,34,20,34,36,501826
34033,Salem County ,NJ,34,83.83333333333333,31,44,6,46,13,16,25,15,23,36,24,26,14,20,30,20,26,23,25,22,33,44,115,124,143,220,324,224,194,609,12,4,7,11,2,1,2,1,2,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,7,3,2,3,5,62385
34035,Somerset County ,NJ,34,364.73333333333335,97,54,44,80,77,51,66,59,55,62,39,54,62,96,133,107,109,111,124,187,246,373,700,685,699,797,842,823,714,3396,7,11,1,89,3,20,0,3,2,6,3,0,2,0,2,1,4,4,7,5,3,3,4,5,3,2,4,15,15,15,10,328934
34037,Sussex County ,NJ,34,137.26666666666668,14,22,13,20,20,17,31,30,23,21,11,32,18,13,27,45,41,41,37,61,84,127,192,235,234,401,399,398,464,1047,1,0,3,39,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,6,3,140488
34039,Union County ,NJ,34,866.9,105,6,0,0,0,0,62,216,120,174,109,99,135,103,125,201,229,336,503,850,1115,1380,2102,1887,2212,1950,2178,1868,1413,6529,24,28,9,190,3,12,2,3,2,1,1,1,0,4,1,0,0,2,4,2,5,5,5,15,27,14,16,27,27,24,33,556341
34041,Warren County ,NJ,34,109.0,13,14,12,25,12,11,36,18,15,20,16,11,16,10,10,13,17,22,27,47,78,160,232,235,236,275,309,334,350,696,0,6,4,14,5,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,3,2,105267
