countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
2013,Aleutians East Borough ,AK,2,0,1,0,0,0,0,2,1,1,2,2,2,2,2,10,2,11,5,5,5,15,16,9,19,20,30,29,29,29,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337
2016,Aleutians West Census Area ,AK,2,0,0,0,0,5,0,12,85,88,4,5,90,7,93,7,7,8,8,5,6,5,99,11,13,13,13,114,160,33,186,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5634
2020,Municipality of Anchorage,AK,2,275,334,373,432,568,733,966,1289,1885,2232,2549,2818,3126,3395,3660,3966,4362,4848,5479,6209,7065,8419,9975,11991,14378,16465,18246,20050,21505,22338,23253,4,7,7,7,8,8,9,11,14,17,21,23,26,28,30,31,35,36,41,45,48,53,58,66,70,83,103,112,127,138,142,288000
2050,Bethel Census Area ,AK,2,3,4,6,10,13,15,16,18,22,22,32,41,60,64,80,96,112,124,174,244,372,478,642,961,1238,1609,1905,2149,2282,2374,2572,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,3,3,6,9,10,13,13,13,15,15,18386
2060,Bristol Bay Borough ,AK,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836
2068,Denali Borough ,AK,2,0,0,0,0,0,0,2,1,1,1,1,1,1,2,2,2,7,10,17,17,23,31,29,38,40,43,48,54,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097
2070,Dillingham Census Area ,AK,2,0,0,0,16,0,0,21,0,1,1,23,5,5,5,6,28,29,30,33,36,44,59,65,76,90,96,82,104,108,112,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4916
2090,Fairbanks North Star Borough ,AK,2,85,93,117,137,172,234,325,379,428,461,513,581,660,766,899,987,1113,1299,1568,1778,1953,2250,2487,2795,3127,3372,3701,4214,4568,4741,5003,2,2,2,2,2,2,3,4,5,6,8,9,9,10,10,10,11,11,11,13,15,16,16,17,17,17,17,20,20,20,21,96849
2100,Haines Borough ,AK,2,0,1,2,2,2,2,7,4,4,4,5,5,5,4,9,5,5,5,5,6,12,7,16,10,10,10,11,12,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530
2105,Hoonah-Angoon Census Area ,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2148
