countyFIPS,County Name,State,StateFIPS,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths,population
2013,Aleutians East Borough ,AK,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,8,0,9,0,0,0,10,1,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3337
2016,Aleutians West Census Area ,AK,2,0,0,0,0,5,0,12,73,3,0,1,85,0,86,0,0,1,0,0,1,0,94,0,2,0,0,101,46,0,153,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5634
2020,Municipality of Anchorage,AK,2,43,59,39,59,136,165,233,323,596,347,317,269,308,269,265,306,396,486,631,730,856,1354,1556,2016,2387,2087,1781,1804,1455,833,915,0,3,0,0,1,0,1,2,3,3,4,2,3,2,2,1,4,1,5,4,3,5,5,8,4,13,20,9,15,11,4,288000
2050,Bethel Census Area ,AK,2,0,1,2,4,3,2,1,2,4,0,10,9,19,4,16,16,16,12,50,70,128,106,164,319,277,371,296,244,133,92,198,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,3,3,1,3,0,0,2,0,18386
2060,Bristol Bay Borough ,AK,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836
2068,Denali Borough ,AK,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,3,7,0,6,8,0,9,2,3,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2097
2070,Dillingham Census Area ,AK,2,0,0,0,16,0,0,21,0,1,0,22,0,0,0,1,22,1,1,3,3,8,15,6,11,14,6,0,22,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4916
2090,Fairbanks North Star Borough ,AK,2,0,8,24,20,35,62,91,54,49,33,52,68,79,106,133,88,126,186,269,210,175,297,237,308,332,245,329,513,354,173,262,0,0,0,0,0,0,1,1,1,1,2,1,0,1,0,0,1,0,0,2,2,1,0,1,0,0,0,3,0,0,1,96849
2100,Haines Borough ,AK,2,0,1,1,0,0,0,5,0,0,0,1,0,0,0,5,0,0,0,0,1,6,0,9,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2530
2105,Hoonah-Angoon Census Area ,AK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2148
