Entity,Code,Day,Weekly cases per million people
Statewide Unallocated,CA,2020-06-01,
Statewide Unallocated,ID,2020-06-01,
Statewide Unallocated,MT,2020-06-01,
Statewide Unallocated,OR,2020-06-01,
Statewide Unallocated,WA,2020-06-01,
Statewide Unallocated,WY,2020-06-01,
Statewide Unallocated,CA,2020-06-02,
Statewide Unallocated,ID,2020-06-02,
Statewide Unallocated,MT,2020-06-02,
Statewide Unallocated,OR,2020-06-02,
Statewide Unallocated,WA,2020-06-02,
Statewide Unallocated,WY,2020-06-02,
Statewide Unallocated,CA,2020-06-03,
Statewide Unallocated,ID,2020-06-03,
Statewide Unallocated,MT,2020-06-03,
Statewide Unallocated,OR,2020-06-03,
Statewide Unallocated,WA,2020-06-03,
Statewide Unallocated,WY,2020-06-03,
Statewide Unallocated,CA,2020-06-04,
Statewide Unallocated,ID,2020-06-04,
Statewide Unallocated,MT,2020-06-04,
Statewide Unallocated,OR,2020-06-04,
Statewide Unallocated,WA,2020-06-04,
Statewide Unallocated,WY,2020-06-04,
Statewide Unallocated,CA,2020-06-05,
Statewide Unallocated,ID,2020-06-05,
Statewide Unallocated,MT,2020-06-05,
Statewide Unallocated,OR,2020-06-05,
Statewide Unallocated,WA,2020-06-05,
Statewide Unallocated,WY,2020-06-05,
Statewide Unallocated,CA,2020-06-06,
Statewide Unallocated,ID,2020-06-06,
Statewide Unallocated,MT,2020-06-06,
Statewide Unallocated,OR,2020-06-06,
Statewide Unallocated,WA,2020-06-06,
Statewide Unallocated,WY,2020-06-06,
Statewide Unallocated,CA,2020-06-07,
Statewide Unallocated,ID,2020-06-07,
Statewide Unallocated,MT,2020-06-07,
Statewide Unallocated,OR,2020-06-07,
Statewide Unallocated,WA,2020-06-07,
Statewide Unallocated,WY,2020-06-07,
Statewide Unallocated,CA,2020-06-08,
Statewide Unallocated,ID,2020-06-08,
Statewide Unallocated,MT,2020-06-08,
Statewide Unallocated,OR,2020-06-08,
Statewide Unallocated,WA,2020-06-08,
Statewide Unallocated,WY,2020-06-08,
Statewide Unallocated,CA,2020-06-09,
Statewide Unallocated,ID,2020-06-09,
Statewide Unallocated,MT,2020-06-09,
Statewide Unallocated,OR,2020-06-09,
Statewide Unallocated,WA,2020-06-09,
Statewide Unallocated,WY,2020-06-09,
Statewide Unallocated,CA,2020-06-10,
Statewide Unallocated,ID,2020-06-10,
Statewide Unallocated,MT,2020-06-10,
Statewide Unallocated,OR,2020-06-10,
Statewide Unallocated,WA,2020-06-10,
Statewide Unallocated,WY,2020-06-10,
Statewide Unallocated,CA,2020-06-11,
Statewide Unallocated,ID,2020-06-11,
Statewide Unallocated,MT,2020-06-11,
Statewide Unallocated,OR,2020-06-11,
Statewide Unallocated,WA,2020-06-11,
Statewide Unallocated,WY,2020-06-11,
Statewide Unallocated,CA,2020-06-12,
Statewide Unallocated,ID,2020-06-12,
Statewide Unallocated,MT,2020-06-12,
Statewide Unallocated,OR,2020-06-12,
Statewide Unallocated,WA,2020-06-12,
Statewide Unallocated,WY,2020-06-12,
Statewide Unallocated,CA,2020-06-13,
Statewide Unallocated,ID,2020-06-13,
Statewide Unallocated,MT,2020-06-13,
Statewide Unallocated,OR,2020-06-13,
Statewide Unallocated,WA,2020-06-13,
Statewide Unallocated,WY,2020-06-13,
Statewide Unallocated,CA,2020-06-14,
Statewide Unallocated,ID,2020-06-14,
Statewide Unallocated,MT,2020-06-14,
Statewide Unallocated,OR,2020-06-14,
Statewide Unallocated,WA,2020-06-14,
Statewide Unallocated,WY,2020-06-14,
Statewide Unallocated,CA,2020-06-15,
Statewide Unallocated,ID,2020-06-15,
Statewide Unallocated,MT,2020-06-15,
Statewide Unallocated,OR,2020-06-15,
Statewide Unallocated,WA,2020-06-15,
Statewide Unallocated,WY,2020-06-15,
Statewide Unallocated,CA,2020-06-16,
Statewide Unallocated,ID,2020-06-16,
Statewide Unallocated,MT,2020-06-16,
Statewide Unallocated,OR,2020-06-16,
Statewide Unallocated,WA,2020-06-16,
Statewide Unallocated,WY,2020-06-16,
Statewide Unallocated,CA,2020-06-17,
Statewide Unallocated,ID,2020-06-17,
Statewide Unallocated,MT,2020-06-17,
Statewide Unallocated,OR,2020-06-17,
Statewide Unallocated,WA,2020-06-17,
Statewide Unallocated,WY,2020-06-17,
Statewide Unallocated,CA,2020-06-18,
Statewide Unallocated,ID,2020-06-18,
Statewide Unallocated,MT,2020-06-18,
Statewide Unallocated,OR,2020-06-18,
Statewide Unallocated,WA,2020-06-18,
Statewide Unallocated,WY,2020-06-18,
Statewide Unallocated,CA,2020-06-19,
Statewide Unallocated,ID,2020-06-19,
Statewide Unallocated,MT,2020-06-19,
Statewide Unallocated,OR,2020-06-19,
Statewide Unallocated,WA,2020-06-19,
Statewide Unallocated,WY,2020-06-19,
Statewide Unallocated,CA,2020-06-20,
Statewide Unallocated,ID,2020-06-20,
Statewide Unallocated,MT,2020-06-20,
Statewide Unallocated,OR,2020-06-20,
Statewide Unallocated,WA,2020-06-20,
Statewide Unallocated,WY,2020-06-20,
Statewide Unallocated,CA,2020-06-21,
Statewide Unallocated,ID,2020-06-21,
Statewide Unallocated,MT,2020-06-21,
Statewide Unallocated,OR,2020-06-21,
Statewide Unallocated,WA,2020-06-21,
Statewide Unallocated,WY,2020-06-21,
Statewide Unallocated,CA,2020-06-22,
Statewide Unallocated,ID,2020-06-22,
Statewide Unallocated,MT,2020-06-22,
Statewide Unallocated,OR,2020-06-22,
Statewide Unallocated,WA,2020-06-22,
Statewide Unallocated,WY,2020-06-22,
Statewide Unallocated,CA,2020-06-23,
Statewide Unallocated,ID,2020-06-23,
Statewide Unallocated,MT,2020-06-23,
Statewide Unallocated,OR,2020-06-23,
Statewide Unallocated,WA,2020-06-23,
Statewide Unallocated,WY,2020-06-23,
Statewide Unallocated,CA,2020-06-24,
Statewide Unallocated,ID,2020-06-24,
Statewide Unallocated,MT,2020-06-24,
Statewide Unallocated,OR,2020-06-24,
Statewide Unallocated,WA,2020-06-24,
Statewide Unallocated,WY,2020-06-24,
Statewide Unallocated,CA,2020-06-25,
Statewide Unallocated,ID,2020-06-25,
Statewide Unallocated,MT,2020-06-25,
Statewide Unallocated,OR,2020-06-25,
Statewide Unallocated,WA,2020-06-25,
Statewide Unallocated,WY,2020-06-25,
Statewide Unallocated,CA,2020-06-26,
Statewide Unallocated,ID,2020-06-26,
Statewide Unallocated,MT,2020-06-26,
Statewide Unallocated,OR,2020-06-26,
Statewide Unallocated,WA,2020-06-26,
Statewide Unallocated,WY,2020-06-26,
Statewide Unallocated,CA,2020-06-27,
Statewide Unallocated,ID,2020-06-27,
Statewide Unallocated,MT,2020-06-27,
Statewide Unallocated,OR,2020-06-27,
Statewide Unallocated,WA,2020-06-27,
Statewide Unallocated,WY,2020-06-27,
Statewide Unallocated,CA,2020-06-28,
Statewide Unallocated,ID,2020-06-28,
Statewide Unallocated,MT,2020-06-28,
Statewide Unallocated,OR,2020-06-28,
Statewide Unallocated,WA,2020-06-28,
Statewide Unallocated,WY,2020-06-28,
Statewide Unallocated,CA,2020-06-29,
Statewide Unallocated,ID,2020-06-29,
Statewide Unallocated,MT,2020-06-29,
Statewide Unallocated,OR,2020-06-29,
Statewide Unallocated,WA,2020-06-29,
Statewide Unallocated,WY,2020-06-29,
Statewide Unallocated,CA,2020-06-30,
Statewide Unallocated,ID,2020-06-30,
Statewide Unallocated,MT,2020-06-30,
Statewide Unallocated,OR,2020-06-30,
Statewide Unallocated,WA,2020-06-30,
Statewide Unallocated,WY,2020-06-30,
Statewide Unallocated,CA,2020-07-01,
Statewide Unallocated,ID,2020-07-01,
Statewide Unallocated,MT,2020-07-01,
Statewide Unallocated,OR,2020-07-01,
Statewide Unallocated,WA,2020-07-01,
Statewide Unallocated,WY,2020-07-01,
Statewide Unallocated,CA,2020-07-02,
Statewide Unallocated,ID,2020-07-02,
Statewide Unallocated,MT,2020-07-02,
Statewide Unallocated,OR,2020-07-02,
Statewide Unallocated,WA,2020-07-02,
Statewide Unallocated,WY,2020-07-02,
Statewide Unallocated,CA,2020-07-03,
Statewide Unallocated,ID,2020-07-03,
Statewide Unallocated,MT,2020-07-03,
Statewide Unallocated,OR,2020-07-03,
Statewide Unallocated,WA,2020-07-03,
Statewide Unallocated,WY,2020-07-03,
Statewide Unallocated,CA,2020-07-04,
Statewide Unallocated,ID,2020-07-04,
Statewide Unallocated,MT,2020-07-04,
Statewide Unallocated,OR,2020-07-04,
Statewide Unallocated,WA,2020-07-04,
Statewide Unallocated,WY,2020-07-04,
Statewide Unallocated,CA,2020-07-05,
Statewide Unallocated,ID,2020-07-05,
Statewide Unallocated,MT,2020-07-05,
Statewide Unallocated,OR,2020-07-05,
Statewide Unallocated,WA,2020-07-05,
Statewide Unallocated,WY,2020-07-05,
Statewide Unallocated,CA,2020-07-06,
Statewide Unallocated,ID,2020-07-06,
Statewide Unallocated,MT,2020-07-06,
Statewide Unallocated,OR,2020-07-06,
Statewide Unallocated,WA,2020-07-06,
Statewide Unallocated,WY,2020-07-06,
Statewide Unallocated,CA,2020-07-07,
Statewide Unallocated,ID,2020-07-07,
Statewide Unallocated,MT,2020-07-07,
Statewide Unallocated,OR,2020-07-07,
Statewide Unallocated,WA,2020-07-07,
Statewide Unallocated,WY,2020-07-07,
Statewide Unallocated,CA,2020-07-08,
Statewide Unallocated,ID,2020-07-08,
Statewide Unallocated,MT,2020-07-08,
Statewide Unallocated,OR,2020-07-08,
Statewide Unallocated,WA,2020-07-08,
Statewide Unallocated,WY,2020-07-08,
Statewide Unallocated,CA,2020-07-09,
Statewide Unallocated,ID,2020-07-09,
Statewide Unallocated,MT,2020-07-09,
Statewide Unallocated,OR,2020-07-09,
Statewide Unallocated,WA,2020-07-09,
Statewide Unallocated,WY,2020-07-09,
Statewide Unallocated,CA,2020-07-10,
Statewide Unallocated,ID,2020-07-10,
Statewide Unallocated,MT,2020-07-10,
Statewide Unallocated,OR,2020-07-10,
Statewide Unallocated,WA,2020-07-10,
Statewide Unallocated,WY,2020-07-10,
Statewide Unallocated,CA,2020-07-11,
Statewide Unallocated,ID,2020-07-11,
Statewide Unallocated,MT,2020-07-11,
Statewide Unallocated,OR,2020-07-11,
Statewide Unallocated,WA,2020-07-11,
Statewide Unallocated,WY,2020-07-11,
Statewide Unallocated,CA,2020-07-12,
Statewide Unallocated,ID,2020-07-12,
Statewide Unallocated,MT,2020-07-12,
Statewide Unallocated,OR,2020-07-12,
Statewide Unallocated,WA,2020-07-12,
Statewide Unallocated,WY,2020-07-12,
Statewide Unallocated,CA,2020-07-13,
Statewide Unallocated,ID,2020-07-13,
Statewide Unallocated,MT,2020-07-13,
Statewide Unallocated,OR,2020-07-13,
Statewide Unallocated,WA,2020-07-13,
Statewide Unallocated,WY,2020-07-13,
Statewide Unallocated,CA,2020-07-14,
Statewide Unallocated,ID,2020-07-14,
