countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
0,CA,Statewide Unallocated,0,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
6001,CA,Alameda County ,1671329,28585,32554,37749,44089,52547,62485,73918,84413,94049,103277,113121,122503,130114,136169,140543,144841,148859,152338,155857,159554,163585,168343,175205,184487,197985,213751,239610,274471,313232,348768,386325
6003,CA,Alpine County ,1129,14,14,14,14,14,19,21,21,21,21,21,21,21,21,21,21,25,28,28,28,28,53,144,220,296,357,397,453,462,467,486
6005,CA,Amador County ,39752,70,72,89,156,235,300,552,840,1156,1528,1776,1843,1906,1929,1956,2010,2053,2091,2136,2187,2349,2544,2727,2958,3298,3991,7092,10718,13939,16224,18555
6007,CA,Butte County ,219186,540,660,938,1434,2172,3512,5144,6564,7777,9084,10379,11852,14825,17580,19002,19734,20221,20694,21172,21551,22058,22671,23516,24895,26833,29288,33027,38469,44611,50686,56463
6009,CA,Calaveras County ,45905,148,192,250,294,431,538,656,793,971,1119,1274,1458,1689,1945,2068,2120,2158,2188,2215,2277,2321,2408,2489,2665,3007,3525,4289,5191,6413,7490,8439
6011,CA,Colusa County ,21547,63,75,132,334,709,1166,1765,2192,2570,2798,2941,3043,3221,3363,3501,3640,3710,3739,3772,3795,3839,3958,4112,4291,4734,5393,6261,7123,7954,8718,9506
6013,CA,Contra Costa County ,1153526,12715,14594,17514,22720,30303,39943,50433,60763,70543,79547,87693,94451,100287,105485,110067,114470,118898,122323,125385,128430,131977,136136,142203,150282,161081,173333,192313,217537,246140,270800,299962
6015,CA,Del Norte County ,27812,315,327,329,362,414,431,551,594,617,667,712,776,805,831,868,929,971,1031,1149,1184,1211,1282,1392,1622,1991,2516,3103,3831,4543,4953,5342
6017,CA,El Dorado County ,192843,843,967,1207,1593,2150,2996,3962,4727,5414,5869,6305,6675,6940,7214,7413,7657,8157,8619,8924,9162,9565,10203,11007,12600,15312,19337,24326,30189,35702,40772,45808
6019,CA,Fresno County ,999101,24497,29825,38110,54011,71754,92225,111903,131365,147007,159926,171762,181553,190035,197037,202266,206936,211494,215733,220494,225731,230492,235454,244313,256648,274949,294321,323877,366910,414517,455942,497909
6021,CA,Glenn County ,28393,158,279,533,870,1187,1517,1948,2353,2593,2788,2903,2998,3159,3472,3730,3936,4098,4257,4406,4505,4681,4885,5150,5595,6223,6989,7841,8586,9380,10402,11497
6023,CA,Humboldt County ,135558,804,842,959,1050,1158,1350,1479,1649,1814,2029,2285,2491,2740,3022,3237,3387,3504,3613,3696,3819,3926,4069,4331,4869,5726,6465,7756,9150,10246,11494,13179
6025,CA,Imperial County ,181215,31205,38388,45505,52324,57969,62548,66667,69673,71917,74143,75900,77470,78635,79696,80626,81649,82750,84070,85682,87448,89706,91993,95087,99905,107977,115239,123551,137876,148472,156488,164206
6027,CA,Inyo County ,18039,148,158,179,208,239,259,290,348,463,688,930,1144,1239,1283,1300,1312,1326,1374,1428,1549,1673,1738,1800,1878,2002,2160,2467,2980,3696,4417,5035
6029,CA,Kern County ,900202,22457,27758,35779,48814,70889,98171,127365,151174,169759,183690,194069,201894,207399,211565,215575,219577,222880,226125,229322,232584,235951,240047,246493,256330,271395,290716,317959,359115,403622,442860,482435
6031,CA,Kings County ,152940,10690,13192,15167,17417,19858,22559,25325,28648,32214,35411,38281,40700,43389,46583,49160,51314,53705,55599,57025,57700,58842,61254,63954,67664,72991,79950,87289,95484,103359,110480,117384
6033,CA,Lake County ,64386,232,264,306,462,688,951,1206,1383,1580,1760,1962,2175,2396,2658,3004,3563,3957,4183,4512,4777,4936,5165,5386,5703,6213,6998,8081,9455,10968,12501,14063
