countyFIPS,State,County Name_x,population,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases
6001,CA,Alameda County ,1671329,11924.666666666666,3969.0,5195.0,6340.0,8458.0,9938.0,11433.0,10495.0,9636.0,9228.0,9844.0,9382.0,7611.0,6055.0,4374.0,4298.0,4018.0,3479.0,3519.0,3697.0,4031.0,4758.0,6862.0,9282.0,13498.0,15766.0,25859.0,34861.0,38761.0,35536.0,37557.0
6003,CA,Alpine County ,1129,15.733333333333333,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,25.0,91.0,76.0,76.0,61.0,40.0,56.0,9.0,5.0,19.0
6005,CA,Amador County ,39752,616.1666666666666,2.0,17.0,67.0,79.0,65.0,252.0,288.0,316.0,372.0,248.0,67.0,63.0,23.0,27.0,54.0,43.0,38.0,45.0,51.0,162.0,195.0,183.0,231.0,340.0,693.0,3101.0,3626.0,3221.0,2285.0,2331.0
6007,CA,Butte County ,219186,1864.1,120.0,278.0,496.0,738.0,1340.0,1632.0,1420.0,1213.0,1307.0,1295.0,1473.0,2973.0,2755.0,1422.0,732.0,487.0,473.0,478.0,379.0,507.0,613.0,845.0,1379.0,1938.0,2455.0,3739.0,5442.0,6142.0,6075.0,5777.0
6009,CA,Calaveras County ,45905,276.3666666666667,44.0,58.0,44.0,137.0,107.0,118.0,137.0,178.0,148.0,155.0,184.0,231.0,256.0,123.0,52.0,38.0,30.0,27.0,62.0,44.0,87.0,81.0,176.0,342.0,518.0,764.0,902.0,1222.0,1077.0,949.0
6011,CA,Colusa County ,21547,314.76666666666665,12.0,57.0,202.0,375.0,457.0,599.0,427.0,378.0,228.0,143.0,102.0,178.0,142.0,138.0,139.0,70.0,29.0,33.0,23.0,44.0,119.0,154.0,179.0,443.0,659.0,868.0,862.0,831.0,764.0,788.0
6013,CA,Contra Costa County ,1153526,9574.9,1879.0,2920.0,5206.0,7583.0,9640.0,10490.0,10330.0,9780.0,9004.0,8146.0,6758.0,5836.0,5198.0,4582.0,4403.0,4428.0,3425.0,3062.0,3045.0,3547.0,4159.0,6067.0,8079.0,10799.0,12252.0,18980.0,25224.0,28603.0,24660.0,29162.0
6015,CA,Del Norte County ,27812,167.56666666666666,12.0,2.0,33.0,52.0,17.0,120.0,43.0,23.0,50.0,45.0,64.0,29.0,26.0,37.0,61.0,42.0,60.0,118.0,35.0,27.0,71.0,110.0,230.0,369.0,525.0,587.0,728.0,712.0,410.0,389.0
6017,CA,El Dorado County ,192843,1498.8333333333333,124.0,240.0,386.0,557.0,846.0,966.0,765.0,687.0,455.0,436.0,370.0,265.0,274.0,199.0,244.0,500.0,462.0,305.0,238.0,403.0,638.0,804.0,1593.0,2712.0,4025.0,4989.0,5863.0,5513.0,5070.0,5036.0
6019,CA,Fresno County ,999101,15780.4,5328.0,8285.0,15901.0,17743.0,20471.0,19678.0,19462.0,15642.0,12919.0,11836.0,9791.0,8482.0,7002.0,5229.0,4670.0,4558.0,4239.0,4761.0,5237.0,4761.0,4962.0,8859.0,12335.0,18301.0,19372.0,29556.0,43033.0,47607.0,41425.0,41967.0
