countyFIPS,State,County Name_x,population,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths
6001,CA,Alameda County ,1671329,125.86666666666666,52.0,55.0,73.0,52.0,63.0,98.0,78.0,110.0,131.0,127.0,139.0,200.0,198.0,171.0,134.0,138.0,70.0,51.0,47.0,21.0,42.0,76.0,52.0,74.0,32.0,99.0,214.0,281.0,413.0,485.0
6003,CA,Alpine County ,1129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6005,CA,Amador County ,39752,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,26.0,47.0,26.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,25.0,20.0,1.0
6007,CA,Butte County ,219186,29.3,0.0,0.0,4.0,8.0,8.0,3.0,12.0,23.0,34.0,40.0,34.0,38.0,39.0,34.0,24.0,24.0,13.0,25.0,17.0,13.0,7.0,9.0,15.0,9.0,19.0,43.0,88.0,99.0,96.0,101.0
6009,CA,Calaveras County ,45905,6.6,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,0.0,6.0,7.0,41.0,22.0,15.0,11.0,10.0,6.0,7.0,6.0,7.0,2.0,0.0,0.0,0.0,3.0,11.0,16.0,7.0,7.0
6011,CA,Colusa County ,21547,2.1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,5.0,2.0
6013,CA,Contra Costa County ,1153526,92.23333333333333,53.0,53.0,106.0,65.0,82.0,55.0,81.0,110.0,129.0,128.0,76.0,88.0,102.0,71.0,62.0,76.0,51.0,39.0,24.0,36.0,23.0,20.0,38.0,24.0,40.0,62.0,123.0,175.0,382.0,393.0
6015,CA,Del Norte County ,27812,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
6017,CA,El Dorado County ,192843,10.533333333333333,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,3.0,0.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,16.0,63.0,79.0,100.0
6019,CA,Fresno County ,999101,207.93333333333334,72.0,82.0,37.0,77.0,87.0,125.0,184.0,290.0,264.0,311.0,273.0,258.0,203.0,137.0,106.0,145.0,87.0,58.0,54.0,60.0,54.0,61.0,56.0,129.0,187.0,263.0,518.0,580.0,681.0,799.0
6021,CA,Glenn County ,28393,2.533333333333333,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,6.0,20.0,2.0,0.0,4.0,9.0
6023,CA,Humboldt County ,135558,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,10.0,0.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,1.0,8.0,27.0,22.0,29.0
6025,CA,Imperial County ,181215,102.63333333333334,178.0,222.0,140.0,169.0,202.0,253.0,178.0,116.0,93.0,51.0,62.0,36.0,32.0,31.0,47.0,24.0,31.0,18.0,7.0,16.0,38.0,46.0,13.0,43.0,70.0,126.0,115.0,173.0,213.0,336.0
