countyFIPS,State,County Name_x,population,Day,Weekly_cases_per_million
0,CA,Statewide Unallocated,0,2020-06-07,inf
0,WA,Statewide Unallocated,0,2020-06-07,inf
6025,CA,Imperial County ,181215,2020-06-07,172198.7694175427
16013,ID,Blaine County ,23021,2020-06-07,156118.32674514572
53077,WA,Yakima County ,250873,2020-06-07,113806.58739681034
6031,CA,Kings County ,152940,2020-06-07,69896.69151301164
16053,ID,Jerome County ,24412,2020-06-07,53334.425692282486
56013,WY,Fremont County ,39261,2020-06-07,51348.666615725524
53021,WA,Franklin County ,95222,2020-06-07,48077.12503413077
6037,CA,Los Angeles County ,10039107,2020-06-07,46415.2837498395
16063,ID,Lincoln County ,5366,2020-06-07,43421.543048825944
30101,MT,Toole County ,4736,2020-06-07,42863.17567567568
6107,CA,Tulare County ,466195,2020-06-07,41341.069724042514
16083,ID,Twin Falls County ,86878,2020-06-07,35072.17016966321
6083,CA,Santa Barbara County ,446499,2020-06-07,34490.55876944853
56043,WY,Washakie County ,7805,2020-06-07,34208.84048686739
6065,CA,Riverside County ,2470546,2020-06-07,30236.635950109816
16087,ID,Washington County ,10194,2020-06-07,30213.85128506965
56039,WY,Teton County ,23464,2020-06-07,29832.935560859187
53005,WA,Benton County ,204390,2020-06-07,29512.207055139683
16031,ID,Cassia County ,24030,2020-06-07,28464.419475655428
53017,WA,Douglas County ,43429,2020-06-07,28114.85412972898
53033,WA,King County ,2252782,2020-06-07,25802.31908813192
53001,WA,Adams County ,19983,2020-06-07,25621.778511734974
30037,MT,Golden Valley County ,821,2020-06-07,25578.562728380024
53061,WA,Snohomish County ,822083,2020-06-07,25575.27646235234
6029,CA,Kern County ,900202,2020-06-07,24946.62309126174
6019,CA,Fresno County ,999101,2020-06-07,24519.042619314765
16047,ID,Gooding County ,15179,2020-06-07,24244.021345279663
53057,WA,Skagit County ,129205,2020-06-07,24062.536279555745
53007,WA,Chelan County ,77200,2020-06-07,23212.435233160624
6081,CA,San Mateo County ,766573,2020-06-07,22977.589870762473
6071,CA,San Bernardino County ,2180085,2020-06-07,22897.73105177092
6075,CA,City and County of San Francisco,881549,2020-06-07,22406.014867012498
16067,ID,Minidoka County ,21039,2020-06-07,21674.033936974192
6059,CA,Orange County ,3175692,2020-06-07,21666.773729946104
41047,OR,Marion County ,347818,2020-06-07,20358.348331598707
6073,CA,San Diego County ,3338330,2020-06-07,19160.47844281422
56017,WY,Hot Springs County ,4413,2020-06-07,19034.67029231815
6051,CA,Mono County ,14444,2020-06-07,18900.58155635558
30003,MT,Big Horn County ,13319,2020-06-07,17944.29011187026
6001,CA,Alameda County ,1671329,2020-06-07,17103.15563243383
6041,CA,Marin County ,258826,2020-06-07,16161.436640832066
53053,WA,Pierce County ,904980,2020-06-07,15369.400428738756
53025,WA,Grant County ,97733,2020-06-07,15184.22641277767
56019,WY,Johnson County ,8445,2020-06-07,14920.07104795737
53029,WA,Island County ,85141,2020-06-07,14845.961405198435
16069,ID,Nez Perce County ,40408,2020-06-07,14328.845773114235
41031,OR,Jefferson County ,24658,2020-06-07,14113.066753183552
6111,CA,Ventura County ,846006,2020-06-07,13953.801746086907
6099,CA,Stanislaus County ,550660,2020-06-07,13500.163440235354
6053,CA,Monterey County ,434061,2020-06-07,13479.672211970206
56021,WY,Laramie County ,99500,2020-06-07,13226.130653266331
6039,CA,Madera County ,157327,2020-06-07,13042.897913263458
53037,WA,Kittitas County ,47935,2020-06-07,12871.596954208824
53071,WA,Walla Walla County ,60760,2020-06-07,12820.934825543121
6077,CA,San Joaquin County ,762148,2020-06-07,12699.633142119379
6003,CA,Alpine County ,1129,2020-06-07,12400.354295837024
53073,WA,Whatcom County ,229247,2020-06-07,12340.401401108847
56009,WY,Converse County ,13822,2020-06-07,12154.53624656345
6085,CA,Santa Clara County ,1927852,2020-06-07,12132.155372922818
16001,ID,Ada County ,481587,2020-06-07,12043.51446363793
6069,CA,San Benito County ,62808,2020-06-07,11957.07553177939
16009,ID,Benewah County ,9298,2020-06-07,11400.301140030115
6047,CA,Merced County ,277680,2020-06-07,11390.809564966868
6015,CA,Del Norte County ,27812,2020-06-07,11326.046310944917
41059,OR,Umatilla County ,77950,2020-06-07,11289.288005131493
6013,CA,Contra Costa County ,1153526,2020-06-07,11022.725105459262
6095,CA,Solano County ,447643,2020-06-07,10923.883541125406
41051,OR,Multnomah County ,812855,2020-06-07,10525.86254621058
41027,OR,Hood River County ,23382,2020-06-07,9964.930288255922
