countyFIPS,State,County Name_x,population,2020-06-07 00:00:00,2020-06-14 00:00:00,2020-06-21 00:00:00,2020-06-28 00:00:00,2020-07-05 00:00:00,2020-07-12 00:00:00,2020-07-19 00:00:00,2020-07-26 00:00:00,2020-08-02 00:00:00,2020-08-09 00:00:00,2020-08-16 00:00:00,2020-08-23 00:00:00,2020-08-30 00:00:00,2020-09-06 00:00:00,2020-09-13 00:00:00,2020-09-20 00:00:00,2020-09-27 00:00:00,2020-10-04 00:00:00,2020-10-11 00:00:00,2020-10-18 00:00:00,2020-10-25 00:00:00,2020-11-01 00:00:00,2020-11-08 00:00:00,2020-11-15 00:00:00,2020-11-22 00:00:00,2020-11-29 00:00:00,2020-12-06 00:00:00,2020-12-13 00:00:00,2020-12-20 00:00:00,2020-12-27 00:00:00,2021-01-03 00:00:00
0,CA,Statewide Unallocated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6001,CA,Alameda County ,1671329,754,806,861,934,986,1049,1147,1225,1335,1466,1593,1732,1932,2130,2301,2435,2573,2643,2694,2741,2762,2804,2880,2932,3006,3038,3137,3351,3632,4045,4530
6003,CA,Alpine County ,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6005,CA,Amador County ,39752,0,0,0,0,0,0,0,0,2,28,75,101,107,112,112,112,112,112,112,112,112,112,112,112,112,112,115,129,154,174,175
6007,CA,Butte County ,219186,7,7,7,11,19,27,30,42,65,99,139,173,211,250,284,308,332,345,370,387,400,407,416,431,440,459,502,590,689,785,886
6009,CA,Calaveras County ,45905,0,0,0,0,0,0,1,7,7,14,14,20,27,68,90,105,116,126,132,139,145,152,154,154,154,154,157,168,184,191,198
6011,CA,Colusa County ,21547,0,0,0,0,0,0,0,15,28,35,35,37,42,42,42,42,42,42,42,42,42,42,42,42,42,43,51,56,56,61,63
6013,CA,Contra Costa County ,1153526,305,358,411,517,582,664,719,800,910,1039,1167,1243,1331,1433,1504,1566,1642,1693,1732,1756,1792,1815,1835,1873,1897,1937,1999,2122,2297,2679,3072
6015,CA,Del Norte County ,27812,0,0,0,0,0,0,0,0,0,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,14,14
6017,CA,El Dorado County ,192843,0,0,0,0,0,0,2,7,7,11,14,14,14,18,24,28,28,28,28,28,28,28,28,28,28,33,58,74,137,216,316
6019,CA,Fresno County ,999101,378,450,532,569,646,733,858,1042,1332,1596,1907,2180,2438,2641,2778,2884,3029,3116,3174,3228,3288,3342,3403,3459,3588,3775,4038,4556,5136,5817,6616
6021,CA,Glenn County ,28393,0,0,0,0,0,0,5,7,7,17,21,21,21,21,21,21,21,21,21,21,21,21,21,30,35,41,61,63,63,67,76
6023,CA,Humboldt County ,135558,27,28,28,28,28,28,28,28,28,28,28,28,28,28,30,35,39,49,49,52,56,63,63,63,63,63,64,72,99,121,150
6025,CA,Imperial County ,181215,496,674,896,1036,1205,1407,1660,1838,1954,2047,2098,2160,2196,2228,2259,2306,2330,2361,2379,2386,2402,2440,2486,2499,2542,2612,2738,2853,3026,3239,3575
6027,CA,Inyo County ,18039,7,7,7,7,7,7,7,7,7,12,41,68,89,98,98,105,105,105,105,105,106,112,112,112,112,112,112,122,140,158,179
6029,CA,Kern County ,900202,340,381,435,513,643,784,948,1144,1384,1696,1938,2142,2359,2584,2714,2780,2824,2876,2967,3004,3046,3087,3126,3184,3254,3350,3466,3660,3985,4474,4909
6031,CA,Kings County ,152940,41,42,80,154,237,272,289,322,384,416,447,469,508,522,529,532,540,561,567,572,574,576,592,602,602,612,652,720,756,844,914
6033,CA,Lake County ,64386,0,0,0,0,4,7,7,7,7,12,14,18,21,26,37,58,70,72,81,98,99,121,126,139,154,159,161,166,174,191,211
6035,CA,Lassen County ,30573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,7,7,7,9,25,28,29,35,35,52,74
6037,CA,Los Angeles County ,10039107,19371,21232,22796,24397,26088,27890,29875,31933,34079,36137,38050,39870,41497,42950,44272,45321,46229,47118,47876,48665,49403,50158,50844,51601,52781,54462,56683,60193,65870,74353,85648
6039,CA,Madera County ,157327,20,22,28,35,49,67,105,158,242,354,434,491,557,576,608,635,657,683,693,703,721,726,734,739,763,795,811,856,926,999,1060
6041,CA,Marin County ,258826,124,128,139,151,167,233,313,388,497,561,617,644,679,719,779,815,833,859,902,910,920,925,936,938,943,951,965,997,1018,1052,1104
6043,CA,Mariposa County ,17203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7
6045,CA,Mendocino County ,86749,0,0,0,0,4,7,11,29,53,68,70,90,109,112,112,119,119,124,138,140,140,140,140,145,147,150,154,160,164,169,189
6047,CA,Merced County ,277680,49,49,57,75,84,93,140,239,348,505,597,665,779,818,865,911,950,983,1015,1030,1043,1055,1087,1126,1184,1219,1290,1410,1517,1662,1817
