Entity,Code,Day,Weekly cases per million people
Australia,AUS,2020-06-01,3.0151536
Australia,AUS,2020-06-02,3.0151536
Australia,AUS,2020-06-03,3.0151536
Australia,AUS,2020-06-04,3.0151536
Australia,AUS,2020-06-05,3.0151536
Australia,AUS,2020-06-06,3.0151536
Australia,AUS,2020-06-07,2.6716552
Australia,AUS,2020-06-08,2.6716552
Australia,AUS,2020-06-09,2.6716552
Australia,AUS,2020-06-10,2.6716552
Australia,AUS,2020-06-11,2.6716552
Australia,AUS,2020-06-12,2.6716552
Australia,AUS,2020-06-13,2.6716552
Australia,AUS,2020-06-14,1.7938255
Australia,AUS,2020-06-15,1.7938255
Australia,AUS,2020-06-16,1.7938255
Australia,AUS,2020-06-17,1.7938255
Australia,AUS,2020-06-18,1.7938255
Australia,AUS,2020-06-19,1.7938255
Australia,AUS,2020-06-20,1.7938255
Australia,AUS,2020-06-21,5.114311
Australia,AUS,2020-06-22,5.114311
Australia,AUS,2020-06-23,5.114311
Australia,AUS,2020-06-24,5.114311
Australia,AUS,2020-06-25,5.114311
Australia,AUS,2020-06-26,5.114311
Australia,AUS,2020-06-27,5.114311
Australia,AUS,2020-06-28,7.824133
Australia,AUS,2020-06-29,7.824133
Australia,AUS,2020-06-30,7.824133
Australia,AUS,2020-07-01,7.824133
Australia,AUS,2020-07-02,7.824133
Australia,AUS,2020-07-03,7.824133
Australia,AUS,2020-07-04,7.824133
Australia,AUS,2020-07-05,27.518047
Australia,AUS,2020-07-06,27.518047
Australia,AUS,2020-07-07,27.518047
Australia,AUS,2020-07-08,27.518047
Australia,AUS,2020-07-09,27.518047
Australia,AUS,2020-07-10,27.518047
Australia,AUS,2020-07-11,27.518047
Australia,AUS,2020-07-12,45.456303
Australia,AUS,2020-07-13,45.456303
Australia,AUS,2020-07-14,45.456303
Australia,AUS,2020-07-15,45.456303
Australia,AUS,2020-07-16,45.456303
Australia,AUS,2020-07-17,45.456303
Australia,AUS,2020-07-18,45.456303
Australia,AUS,2020-07-19,72.05836
Australia,AUS,2020-07-20,72.05836
Australia,AUS,2020-07-21,72.05836
Australia,AUS,2020-07-22,72.05836
Australia,AUS,2020-07-23,72.05836
Australia,AUS,2020-07-24,72.05836
Australia,AUS,2020-07-25,72.05836
Australia,AUS,2020-07-26,95.75975
Australia,AUS,2020-07-27,95.75975
Australia,AUS,2020-07-28,95.75975
Australia,AUS,2020-07-29,95.75975
Australia,AUS,2020-07-30,95.75975
Australia,AUS,2020-07-31,95.75975
Australia,AUS,2020-08-01,95.75975
Australia,AUS,2020-08-02,127.170784
Australia,AUS,2020-08-03,127.170784
Australia,AUS,2020-08-04,127.170784
Australia,AUS,2020-08-05,127.170784
Australia,AUS,2020-08-06,127.170784
Australia,AUS,2020-08-07,127.170784
Australia,AUS,2020-08-08,127.170784
Australia,AUS,2020-08-09,130.37677
Australia,AUS,2020-08-10,130.37677
Australia,AUS,2020-08-11,130.37677
Australia,AUS,2020-08-12,130.37677
Australia,AUS,2020-08-13,130.37677
Australia,AUS,2020-08-14,130.37677
Australia,AUS,2020-08-15,130.37677
Australia,AUS,2020-08-16,89.195114
Australia,AUS,2020-08-17,89.195114
Australia,AUS,2020-08-18,89.195114
Australia,AUS,2020-08-19,89.195114
Australia,AUS,2020-08-20,89.195114
Australia,AUS,2020-08-21,89.195114
Australia,AUS,2020-08-22,89.195114
Australia,AUS,2020-08-23,59.806908
Australia,AUS,2020-08-24,59.806908
Australia,AUS,2020-08-25,59.806908
Australia,AUS,2020-08-26,59.806908
Australia,AUS,2020-08-27,59.806908
Australia,AUS,2020-08-28,59.806908
Australia,AUS,2020-08-29,59.806908
Australia,AUS,2020-08-30,36.067345
Australia,AUS,2020-08-31,36.067345
Australia,AUS,2020-09-01,36.067345
Australia,AUS,2020-09-02,36.067345
Australia,AUS,2020-09-03,36.067345
Australia,AUS,2020-09-04,36.067345
Australia,AUS,2020-09-05,36.067345
Australia,AUS,2020-09-06,25.18989
Australia,AUS,2020-09-07,25.18989
Australia,AUS,2020-09-08,25.18989
Australia,AUS,2020-09-09,25.18989
Australia,AUS,2020-09-10,25.18989
Australia,AUS,2020-09-11,25.18989
Australia,AUS,2020-09-12,25.18989
Australia,AUS,2020-09-13,15.266601
Australia,AUS,2020-09-14,15.266601
Australia,AUS,2020-09-15,15.266601
Australia,AUS,2020-09-16,15.266601
Australia,AUS,2020-09-17,15.266601
Australia,AUS,2020-09-18,15.266601
Australia,AUS,2020-09-19,15.266601
Australia,AUS,2020-09-20,10.610288
Australia,AUS,2020-09-21,10.610288
Australia,AUS,2020-09-22,10.610288
Australia,AUS,2020-09-23,10.610288
Australia,AUS,2020-09-24,10.610288
Australia,AUS,2020-09-25,10.610288
Australia,AUS,2020-09-26,10.610288
Australia,AUS,2020-09-27,4.9998116
Australia,AUS,2020-09-28,4.9998116
Australia,AUS,2020-09-29,4.9998116
Australia,AUS,2020-09-30,4.9998116
Australia,AUS,2020-10-01,4.9998116
Australia,AUS,2020-10-02,4.9998116
Australia,AUS,2020-10-03,4.9998116
Australia,AUS,2020-10-04,4.0074825
Australia,AUS,2020-10-05,4.0074825
Australia,AUS,2020-10-06,4.0074825
Australia,AUS,2020-10-07,4.0074825
Australia,AUS,2020-10-08,4.0074825
Australia,AUS,2020-10-09,4.0074825
Australia,AUS,2020-10-10,4.0074825
Australia,AUS,2020-10-11,4.6944795
Australia,AUS,2020-10-12,4.6944795
Australia,AUS,2020-10-13,4.6944795
Australia,AUS,2020-10-14,4.6944795
Australia,AUS,2020-10-15,4.6944795
Australia,AUS,2020-10-16,4.6944795
Australia,AUS,2020-10-17,4.6944795
Australia,AUS,2020-10-18,5.305144
Australia,AUS,2020-10-19,5.305144
Australia,AUS,2020-10-20,5.305144
Australia,AUS,2020-10-21,5.305144
Australia,AUS,2020-10-22,5.305144
Australia,AUS,2020-10-23,5.305144
Australia,AUS,2020-10-24,5.305144
Australia,AUS,2020-10-25,4.4273143
