Entity,Code,Day,Weekly deaths per million people
Australia,AUS,2020-06-01,0.0
Australia,AUS,2020-06-02,0.0
Australia,AUS,2020-06-03,0.0
Australia,AUS,2020-06-04,0.0
Australia,AUS,2020-06-05,0.0
Australia,AUS,2020-06-06,0.0
Australia,AUS,2020-06-07,0.0
Australia,AUS,2020-06-08,0.0
Australia,AUS,2020-06-09,0.0
Australia,AUS,2020-06-10,0.0
Australia,AUS,2020-06-11,0.0
Australia,AUS,2020-06-12,0.0
Australia,AUS,2020-06-13,0.0
Australia,AUS,2020-06-14,0.0
Australia,AUS,2020-06-15,0.0
Australia,AUS,2020-06-16,0.0
Australia,AUS,2020-06-17,0.0
Australia,AUS,2020-06-18,0.0
Australia,AUS,2020-06-19,0.0
Australia,AUS,2020-06-20,0.0
Australia,AUS,2020-06-21,0.0
Australia,AUS,2020-06-22,0.0
Australia,AUS,2020-06-23,0.0
Australia,AUS,2020-06-24,0.0
Australia,AUS,2020-06-25,0.0
Australia,AUS,2020-06-26,0.0
Australia,AUS,2020-06-27,0.0
Australia,AUS,2020-06-28,0.0381665
Australia,AUS,2020-06-29,0.0381665
Australia,AUS,2020-06-30,0.0381665
Australia,AUS,2020-07-01,0.0381665
Australia,AUS,2020-07-02,0.0381665
Australia,AUS,2020-07-03,0.0381665
Australia,AUS,2020-07-04,0.0381665
Australia,AUS,2020-07-05,0.0381665
Australia,AUS,2020-07-06,0.0381665
Australia,AUS,2020-07-07,0.0381665
Australia,AUS,2020-07-08,0.0381665
Australia,AUS,2020-07-09,0.0381665
Australia,AUS,2020-07-10,0.0381665
Australia,AUS,2020-07-11,0.0381665
Australia,AUS,2020-07-12,0.152666
Australia,AUS,2020-07-13,0.152666
Australia,AUS,2020-07-14,0.152666
Australia,AUS,2020-07-15,0.152666
Australia,AUS,2020-07-16,0.152666
Australia,AUS,2020-07-17,0.152666
Australia,AUS,2020-07-18,0.152666
Australia,AUS,2020-07-19,0.610664
Australia,AUS,2020-07-20,0.610664
Australia,AUS,2020-07-21,0.610664
Australia,AUS,2020-07-22,0.610664
Australia,AUS,2020-07-23,0.610664
Australia,AUS,2020-07-24,0.610664
Australia,AUS,2020-07-25,0.610664
Australia,AUS,2020-07-26,1.7174926
Australia,AUS,2020-07-27,1.7174926
Australia,AUS,2020-07-28,1.7174926
Australia,AUS,2020-07-29,1.7174926
Australia,AUS,2020-07-30,1.7174926
Australia,AUS,2020-07-31,1.7174926
Australia,AUS,2020-08-01,1.7174926
Australia,AUS,2020-08-02,3.6258175
Australia,AUS,2020-08-03,3.6258175
Australia,AUS,2020-08-04,3.6258175
Australia,AUS,2020-08-05,3.6258175
Australia,AUS,2020-08-06,3.6258175
Australia,AUS,2020-08-07,3.6258175
Australia,AUS,2020-08-08,3.6258175
Australia,AUS,2020-08-09,4.045649
Australia,AUS,2020-08-10,4.045649
Australia,AUS,2020-08-11,4.045649
Australia,AUS,2020-08-12,4.045649
Australia,AUS,2020-08-13,4.045649
Australia,AUS,2020-08-14,4.045649
Australia,AUS,2020-08-15,4.045649
Australia,AUS,2020-08-16,5.2669773
Australia,AUS,2020-08-17,5.2669773
Australia,AUS,2020-08-18,5.2669773
Australia,AUS,2020-08-19,5.2669773
Australia,AUS,2020-08-20,5.2669773
Australia,AUS,2020-08-21,5.2669773
Australia,AUS,2020-08-22,5.2669773
Australia,AUS,2020-08-23,4.350981
Australia,AUS,2020-08-24,4.350981
Australia,AUS,2020-08-25,4.350981
Australia,AUS,2020-08-26,4.350981
Australia,AUS,2020-08-27,4.350981
Australia,AUS,2020-08-28,4.350981
Australia,AUS,2020-08-29,4.350981
Australia,AUS,2020-08-30,3.7021506
Australia,AUS,2020-08-31,3.7021506
Australia,AUS,2020-09-01,3.7021506
Australia,AUS,2020-09-02,3.7021506
Australia,AUS,2020-09-03,3.7021506
Australia,AUS,2020-09-04,3.7021506
Australia,AUS,2020-09-05,3.7021506
Australia,AUS,2020-09-06,2.2136571
Australia,AUS,2020-09-07,2.2136571
Australia,AUS,2020-09-08,2.2136571
Australia,AUS,2020-09-09,2.2136571
Australia,AUS,2020-09-10,2.2136571
Australia,AUS,2020-09-11,2.2136571
Australia,AUS,2020-09-12,2.2136571
Australia,AUS,2020-09-13,1.7556591
Australia,AUS,2020-09-14,1.7556591
Australia,AUS,2020-09-15,1.7556591
Australia,AUS,2020-09-16,1.7556591
Australia,AUS,2020-09-17,1.7556591
Australia,AUS,2020-09-18,1.7556591
Australia,AUS,2020-09-19,1.7556591
Australia,AUS,2020-09-20,1.373994
Australia,AUS,2020-09-21,1.373994
Australia,AUS,2020-09-22,1.373994
Australia,AUS,2020-09-23,1.373994
Australia,AUS,2020-09-24,1.373994
Australia,AUS,2020-09-25,1.373994
Australia,AUS,2020-09-26,1.373994
Australia,AUS,2020-09-27,0.87782955
Australia,AUS,2020-09-28,0.87782955
Australia,AUS,2020-09-29,0.87782955
Australia,AUS,2020-09-30,0.87782955
Australia,AUS,2020-10-01,0.87782955
Australia,AUS,2020-10-02,0.87782955
Australia,AUS,2020-10-03,0.87782955
Australia,AUS,2020-10-04,0.7251635
Australia,AUS,2020-10-05,0.7251635
Australia,AUS,2020-10-06,0.7251635
Australia,AUS,2020-10-07,0.7251635
Australia,AUS,2020-10-08,0.7251635
Australia,AUS,2020-10-09,0.7251635
Australia,AUS,2020-10-10,0.7251635
Australia,AUS,2020-10-11,0.19083251
Australia,AUS,2020-10-12,0.19083251
Australia,AUS,2020-10-13,0.19083251
Australia,AUS,2020-10-14,0.19083251
Australia,AUS,2020-10-15,0.19083251
Australia,AUS,2020-10-16,0.19083251
Australia,AUS,2020-10-17,0.19083251
Australia,AUS,2020-10-18,0.0381665
Australia,AUS,2020-10-19,0.0381665
Australia,AUS,2020-10-20,0.0381665
Australia,AUS,2020-10-21,0.0381665
Australia,AUS,2020-10-22,0.0381665
