countyFIPS,State,County Name_x,population,2020-06-07_cases,2020-06-14_cases,2020-06-21_cases,2020-06-28_cases,2020-07-05_cases,2020-07-12_cases,2020-07-19_cases,2020-07-26_cases,2020-08-02_cases,2020-08-09_cases,2020-08-16_cases,2020-08-23_cases,2020-08-30_cases,2020-09-06_cases,2020-09-13_cases,2020-09-20_cases,2020-09-27_cases,2020-10-04_cases,2020-10-11_cases,2020-10-18_cases,2020-10-25_cases,2020-11-01_cases,2020-11-08_cases,2020-11-15_cases,2020-11-22_cases,2020-11-29_cases,2020-12-06_cases,2020-12-13_cases,2020-12-20_cases,2020-12-27_cases,2021-01-03_cases
12001,FL,Alachua County ,269043,3609.9,515.0,1081.0,1953.0,3170.0,3679.0,3646.0,3532.0,3765.0,3545.0,3166.0,2916.0,1925.0,1970.0,4152.0,7367.0,5855.0,3562.0,2609.0,3405.0,3888.0,4390.0,3951.0,3871.0,3921.0,3692.0,3549.0,4560.0,4857.0,4886.0,4919.0
12003,FL,Baker County ,29210,570.2333333333333,3.0,47.0,70.0,233.0,355.0,500.0,426.0,580.0,1730.0,3051.0,488.0,260.0,559.0,533.0,558.0,480.0,395.0,570.0,541.0,477.0,398.0,382.0,320.0,393.0,402.0,564.0,534.0,665.0,817.0,776.0
12005,FL,Bay County ,174705,2737.366666666667,178.0,231.0,646.0,1905.0,2967.0,4757.0,5770.0,6318.0,5155.0,3784.0,2492.0,1928.0,1195.0,1051.0,1147.0,1456.0,1215.0,750.0,976.0,1235.0,1637.0,1716.0,2525.0,3675.0,2801.0,3574.0,4377.0,5502.0,5666.0,5492.0
12007,FL,Bradford County ,28201,495.9,4.0,33.0,110.0,113.0,177.0,381.0,314.0,601.0,706.0,994.0,470.0,576.0,716.0,655.0,663.0,594.0,463.0,201.0,208.0,144.0,154.0,136.0,253.0,377.0,340.0,339.0,559.0,1027.0,2502.0,1067.0
12009,FL,Brevard County ,601942,4794.833333333333,471.0,1396.0,3516.0,6549.0,5812.0,6092.0,5660.0,4784.0,3335.0,3557.0,2939.0,2395.0,2697.0,2359.0,2725.0,3168.0,3449.0,3639.0,3666.0,3926.0,5118.0,5804.0,6214.0,6513.0,6694.0,7455.0,7723.0,8729.0,8386.0,9074.0
12011,FL,Broward County ,1952778,30270.966666666667,6559.0,12077.0,18911.0,33125.0,55334.0,70025.0,68081.0,63483.0,41618.0,31627.0,23039.0,15034.0,16432.0,9682.0,8203.0,8753.0,7682.0,8082.0,11345.0,14686.0,21930.0,25881.0,26743.0,38310.0,39971.0,44794.0,48182.0,46306.0,45857.0,46377.0
12013,FL,Calhoun County ,14105,271.23333333333335,12.0,11.0,36.0,98.0,289.0,451.0,327.0,299.0,743.0,705.0,229.0,219.0,186.0,89.0,94.0,47.0,87.0,95.0,158.0,216.0,187.0,193.0,253.0,268.0,246.0,303.0,448.0,518.0,619.0,711.0
12015,FL,Charlotte County ,188910,1615.4666666666667,272.0,318.0,581.0,1319.0,1274.0,2023.0,1896.0,2136.0,1861.0,1231.0,863.0,1098.0,992.0,662.0,514.0,611.0,706.0,634.0,842.0,894.0,1476.0,1681.0,1887.0,2413.0,2669.0,2883.0,3756.0,3294.0,3672.0,4006.0
12017,FL,Citrus County ,149657,1524.5666666666666,70.0,225.0,468.0,728.0,956.0,1548.0,1881.0,1559.0,1648.0,1706.0,1509.0,1018.0,1170.0,1385.0,1097.0,1060.0,643.0,728.0,686.0,745.0,954.0,1310.0,2357.0,2684.0,2815.0,2825.0,2828.0,3024.0,3098.0,3012.0
12019,FL,Clay County ,219252,2538.366666666667,214.0,276.0,710.0,1781.0,3019.0,3812.0,3759.0,2903.0,2547.0,1856.0,1426.0,1681.0,2546.0,1405.0,2123.0,1752.0,1766.0,1347.0,1558.0,1774.0,1571.0,2121.0,2453.0,3106.0,3785.0,4029.0,4155.0,4701.0,5940.0,6035.0
12021,FL,Collier County ,384902,4827.9,3485.0,4225.0,5120.0,6498.0,7365.0,10598.0,8931.0,6668.0,5228.0,3893.0,3026.0,2561.0,2758.0,1835.0,1591.0,1773.0,1432.0,1948.0,2613.0,2927.0,3871.0,4117.0,4413.0,5687.0,6340.0,6897.0,8120.0,6693.0,6159.0,8065.0
12023,FL,Columbia County ,71686,1361.2333333333333,117.0,195.0,306.0,486.0,704.0,3881.0,5543.0,4498.0,2284.0,1629.0,1127.0,1135.0,735.0,586.0,801.0,914.0,895.0,671.0,771.0,718.0,697.0,635.0,721.0,794.0,989.0,1144.0,1174.0,1947.0,2361.0,2379.0
12027,FL,DeSoto County ,38001,622.9333333333333,648.0,706.0,760.0,969.0,900.0,1460.0,884.0,864.0,492.0,485.0,311.0,187.0,295.0,165.0,93.0,93.0,130.0,133.0,144.0,192.0,203.0,251.0,362.0,1915.0,2017.0,942.0,754.0,802.0,862.0,669.0
12029,FL,Dixie County ,16826,247.46666666666667,27.0,3.0,18.0,55.0,170.0,351.0,451.0,277.0,926.0,1327.0,411.0,405.0,20.0,633.0,202.0,137.0,31.0,61.0,127.0,108.0,148.0,139.0,78.0,-593.0,794.0,117.0,137.0,194.0,339.0,331.0
12031,FL,Duval County ,957755,13854.2,1268.0,3483.0,11309.0,23457.0,26218.0,26616.0,24619.0,16431.0,12761.0,10704.0,7135.0,6152.0,7645.0,6756.0,5936.0,6410.0,5705.0,5846.0,6821.0,8153.0,9225.0,9172.0,9662.0,14269.0,18271.0,22725.0,22739.0,26422.0,29246.0,30470.0
12033,FL,Escambia County ,318316,5001.566666666667,530.0,1096.0,2337.0,5751.0,8071.0,11471.0,10008.0,7795.0,7743.0,9164.0,4047.0,2942.0,2548.0,2374.0,1937.0,1157.0,1652.0,1375.0,1750.0,2212.0,2606.0,3564.0,5069.0,5811.0,5221.0,5991.0,7251.0,9047.0,9472.0,10055.0
12035,FL,Flagler County ,115081,823.9,56.0,107.0,327.0,548.0,696.0,950.0,1066.0,1020.0,882.0,822.0,586.0,569.0,499.0,998.0,823.0,594.0,432.0,458.0,601.0,813.0,711.0,767.0,728.0,991.0,1153.0,1157.0,1106.0,1429.0,1761.0,2067.0
12037,FL,Franklin County ,12125,210.93333333333334,0.0,0.0,20.0,30.0,98.0,180.0,233.0,169.0,1269.0,1116.0,305.0,262.0,203.0,110.0,103.0,138.0,166.0,181.0,190.0,342.0,250.0,150.0,93.0,83.0,93.0,34.0,72.0,70.0,93.0,275.0
12039,FL,Gadsden County ,45660,860.3,91.0,111.0,209.0,478.0,716.0,1362.0,2213.0,2156.0,2645.0,1854.0,870.0,1066.0,1133.0,1029.0,661.0,700.0,633.0,636.0,470.0,239.0,165.0,148.0,205.0,462.0,536.0,799.0,676.0,833.0,1172.0,1541.0
