countyFIPS,State,County Name_x,population,2020-06-07_deaths,2020-06-14_deaths,2020-06-21_deaths,2020-06-28_deaths,2020-07-05_deaths,2020-07-12_deaths,2020-07-19_deaths,2020-07-26_deaths,2020-08-02_deaths,2020-08-09_deaths,2020-08-16_deaths,2020-08-23_deaths,2020-08-30_deaths,2020-09-06_deaths,2020-09-13_deaths,2020-09-20_deaths,2020-09-27_deaths,2020-10-04_deaths,2020-10-11_deaths,2020-10-18_deaths,2020-10-25_deaths,2020-11-01_deaths,2020-11-08_deaths,2020-11-15_deaths,2020-11-22_deaths,2020-11-29_deaths,2020-12-06_deaths,2020-12-13_deaths,2020-12-20_deaths,2020-12-27_deaths,2021-01-03_deaths
12001,FL,Alachua County ,269043,28.466666666666665,9.0,11.0,6.0,4.0,0.0,1.0,28.0,32.0,31.0,11.0,26.0,8.0,10.0,24.0,51.0,51.0,63.0,40.0,31.0,26.0,9.0,20.0,43.0,48.0,54.0,26.0,21.0,39.0,49.0,82.0
12003,FL,Baker County ,29210,7.533333333333333,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,4.0,25.0,9.0,10.0,11.0,16.0,10.0,24.0,25.0,20.0,7.0,20.0,6.0,9.0,13.0,2.0,0.0
12005,FL,Bay County ,174705,47.63333333333333,3.0,0.0,0.0,5.0,8.0,16.0,34.0,42.0,163.0,100.0,82.0,54.0,46.0,40.0,35.0,51.0,61.0,52.0,52.0,50.0,15.0,32.0,46.0,14.0,49.0,62.0,116.0,67.0,52.0,82.0
12007,FL,Bradford County ,28201,4.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,0.0,0.0,6.0,1.0,3.0,8.0,8.0,7.0,6.0,12.0,17.0,9.0,0.0,0.0,9.0,12.0,2.0,17.0,9.0,2.0,5.0
12009,FL,Brevard County ,601942,118.2,4.0,16.0,7.0,6.0,45.0,123.0,121.0,266.0,260.0,212.0,173.0,97.0,137.0,155.0,169.0,127.0,87.0,101.0,157.0,146.0,97.0,92.0,127.0,114.0,119.0,99.0,127.0,161.0,109.0,92.0
12011,FL,Broward County ,1952778,355.06666666666666,178.0,99.0,101.0,119.0,264.0,279.0,511.0,899.0,727.0,802.0,1154.0,742.0,267.0,375.0,345.0,337.0,341.0,295.0,333.0,187.0,24.0,124.0,233.0,262.0,222.0,280.0,288.0,259.0,275.0,330.0
12013,FL,Calhoun County ,14105,5.666666666666667,3.0,6.0,5.0,0.0,4.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,1.0,3.0,8.0,10.0,11.0,3.0,0.0,0.0,5.0,30.0,13.0,4.0,4.0,3.0,21.0,8.0,12.0
12015,FL,Charlotte County ,188910,38.3,26.0,12.0,12.0,2.0,11.0,16.0,15.0,28.0,26.0,47.0,62.0,22.0,39.0,39.0,62.0,33.0,27.0,36.0,63.0,34.0,13.0,36.0,61.0,42.0,73.0,68.0,61.0,44.0,53.0,86.0
12017,FL,Citrus County ,149657,59.266666666666666,0.0,0.0,0.0,7.0,2.0,23.0,14.0,45.0,67.0,25.0,45.0,62.0,53.0,52.0,76.0,113.0,74.0,49.0,77.0,42.0,20.0,36.0,41.0,63.0,64.0,97.0,138.0,165.0,155.0,173.0
12019,FL,Clay County ,219252,36.03333333333333,6.0,0.0,9.0,5.0,5.0,42.0,31.0,16.0,16.0,60.0,76.0,35.0,27.0,31.0,50.0,44.0,47.0,41.0,32.0,26.0,53.0,19.0,54.0,36.0,47.0,37.0,76.0,47.0,75.0,38.0
12021,FL,Collier County ,384902,65.56666666666666,42.0,21.0,47.0,86.0,56.0,86.0,90.0,52.0,65.0,115.0,95.0,75.0,63.0,59.0,61.0,89.0,91.0,63.0,66.0,61.0,36.0,18.0,50.0,40.0,59.0,53.0,116.0,71.0,69.0,72.0
12023,FL,Columbia County ,71686,26.966666666666665,0.0,5.0,2.0,0.0,7.0,1.0,24.0,17.0,24.0,54.0,57.0,18.0,39.0,30.0,47.0,31.0,35.0,26.0,49.0,17.0,38.0,18.0,21.0,40.0,36.0,28.0,35.0,43.0,45.0,22.0
12027,FL,DeSoto County ,38001,11.366666666666667,13.0,8.0,0.0,0.0,4.0,12.0,11.0,3.0,11.0,18.0,17.0,4.0,4.0,5.0,2.0,9.0,10.0,9.0,2.0,11.0,1.0,4.0,13.0,11.0,5.0,10.0,45.0,48.0,22.0,29.0
12029,FL,Dixie County ,16826,2.1,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,10.0,12.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12031,FL,Duval County ,957755,157.93333333333334,28.0,24.0,25.0,27.0,46.0,116.0,194.0,232.0,149.0,262.0,155.0,111.0,119.0,228.0,306.0,178.0,277.0,381.0,269.0,95.0,35.0,102.0,93.0,117.0,141.0,347.0,256.0,158.0,137.0,130.0
